media_id,event_label,sample_role,scenario_id,group_id,predicted_status,rule_status,evidence,real_person,support_surface,torso_pelvis_state,active_nonlying_support,nonlying_posture_type,latency_seconds,structured_conflict,conflict_reason
IMG_003702,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,positive,positive,"A real person is lying horizontally on the industrial floor without active support, forming a prone body state on an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,9.210637,false,
IMG_003705,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,positive,positive,"A real person is lying horizontally on a hospital corridor floor, supported only by their back against the wall with no active non-lying support.",yes,abnormal_non_rest_surface,lying,no,none,2.024353,false,
IMG_003706,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,positive,positive,A real person is lying horizontally on a corridor floor (abnormal non-rest surface) with no active support structure maintaining a non-lying posture.,yes,abnormal_non_rest_surface,lying,no,none,2.256151,false,
IMG_003708,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,positive,positive,A real person is lying horizontally on the floor (abnormal non-rest surface) with no active support structure maintaining a non-lying posture.,yes,abnormal_non_rest_surface,lying,no,none,2.244823,false,
IMG_003709,0,hard_negative,pf_v2_aigc_h01-sitting-on-floor,pf_v2_aigc_h01-sitting-on-floor,positive,positive,A real person is lying horizontally on the floor (abnormal non-rest surface) with no active support structure visible.,yes,abnormal_non_rest_surface,lying,no,none,2.146101,false,
IMG_003792,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on an industrial floor, supported only by their hands and feet, with no active non-lying support structure.",yes,abnormal_non_rest_surface,lying,no,none,2.373280,false,
IMG_003793,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on an industrial floor, supported only by hands and forearms in a plank position, which constitutes a lying body state on an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,2.495780,false,
IMG_003794,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a carpeted floor in a corridor, supported only by hands and feet in a plank-like exercise posture.",yes,abnormal_non_rest_surface,lying,no,none,2.220458,false,
IMG_003795,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a yoga mat placed on a corridor floor, which is an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,2.262672,false,
IMG_003796,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a corridor floor, which is an abnormal non-rest surface, with no active support structure maintaining a non-lying posture.",yes,abnormal_non_rest_surface,lying,no,none,2.122421,false,
