item_id,source_family,prompt_id,media_id,group_id,source_split,v3_split,old_role,old_label,taxonomy,prompt_path,prompt_sha256_expected,prompt_sha256_actual,source_image_path,source_image_sha256_expected,source_image_sha256_actual,source_image_sha_basis,source_asset_status,source_provenance_status,remap_rule,prompt_semantics_check,new_label,gt_type,gt_source,human_semantic_review_required,metric_stratum,formal_v3_evaluation,evaluation_exclusion_reason
V2_ORIGINAL::IMG_003982,V2_ORIGINAL_SYNTHETIC_500,01_p01-supine-on-floor-01,IMG_003982,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/01_p01-supine-on-floor-01.txt,9ee55e2d521004485d60ad1252498f0b142acc01a3c2d29b697b95c77eaa52ed,9ee55e2d521004485d60ad1252498f0b142acc01a3c2d29b697b95c77eaa52ed,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/01_p01-supine-on-floor-01.png,3f8831314ec9403dafb006291009877fe8a2d85b9930710f92a6048b23d50c70,3f8831314ec9403dafb006291009877fe8a2d85b9930710f92a6048b23d50c70,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003983,V2_ORIGINAL_SYNTHETIC_500,02_p01-supine-on-floor-02,IMG_003983,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/02_p01-supine-on-floor-02.txt,77213752e5a1bd810c1975f9003c10e5702b376079d86db78f150c74e87a7715,77213752e5a1bd810c1975f9003c10e5702b376079d86db78f150c74e87a7715,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/02_p01-supine-on-floor-02.png,0efbb9f5706f84c5382a0ba30bec46d35ed7b875072c5dbea115139e58a47d8a,0efbb9f5706f84c5382a0ba30bec46d35ed7b875072c5dbea115139e58a47d8a,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003984,V2_ORIGINAL_SYNTHETIC_500,03_p01-supine-on-floor-03,IMG_003984,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/03_p01-supine-on-floor-03.txt,6e08ef08b743ce469bfbef5ac0d5c690e51f1177fd182995101a48d412a427a1,6e08ef08b743ce469bfbef5ac0d5c690e51f1177fd182995101a48d412a427a1,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/03_p01-supine-on-floor-03.png,00226efe88ae972b085592e830ecd461400e627e3f30514aa0bc5174fefc707d,00226efe88ae972b085592e830ecd461400e627e3f30514aa0bc5174fefc707d,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003985,V2_ORIGINAL_SYNTHETIC_500,04_p01-supine-on-floor-04,IMG_003985,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/04_p01-supine-on-floor-04.txt,392a05921628a25e7272e4374262e3492429b1739c62ee684b25b8a0af4c8b62,392a05921628a25e7272e4374262e3492429b1739c62ee684b25b8a0af4c8b62,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/04_p01-supine-on-floor-04.png,b2c04a5ef00e87142592beb2ab5dade093473c24353132baa4f9fa651be1a6a4,b2c04a5ef00e87142592beb2ab5dade093473c24353132baa4f9fa651be1a6a4,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003986,V2_ORIGINAL_SYNTHETIC_500,05_p01-supine-on-floor-05,IMG_003986,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/05_p01-supine-on-floor-05.txt,076ed6a568456429111eead0a9705124adde2399da08c15008c43dd218621222,076ed6a568456429111eead0a9705124adde2399da08c15008c43dd218621222,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/05_p01-supine-on-floor-05.png,5c47f738bf7bbfe499cb85f5b8ab7601c3229c4405845c536d6e814c64dc6c79,5c47f738bf7bbfe499cb85f5b8ab7601c3229c4405845c536d6e814c64dc6c79,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003987,V2_ORIGINAL_SYNTHETIC_500,06_p01-supine-on-floor-06,IMG_003987,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/06_p01-supine-on-floor-06.txt,08d36f8bc87be7fb318e2e2c321dc0fcab58a710a352801988a93917ec342a28,08d36f8bc87be7fb318e2e2c321dc0fcab58a710a352801988a93917ec342a28,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/06_p01-supine-on-floor-06.png,9dc8c1e15e4e31d1c22d5a868a207d56530752c6902fa9c678d824ba7a6e8bb6,9dc8c1e15e4e31d1c22d5a868a207d56530752c6902fa9c678d824ba7a6e8bb6,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003988,V2_ORIGINAL_SYNTHETIC_500,07_p01-supine-on-floor-07,IMG_003988,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/07_p01-supine-on-floor-07.txt,baae53606ba3a56d02eb85c74b638ce39c008e5f36fadfe5fe01c2c70ae007bc,baae53606ba3a56d02eb85c74b638ce39c008e5f36fadfe5fe01c2c70ae007bc,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/07_p01-supine-on-floor-07.png,2d18f5d7a8e1fb5d146ba1167c7a02d08ea63e72f6c3dacfcce8997cd19695b2,2d18f5d7a8e1fb5d146ba1167c7a02d08ea63e72f6c3dacfcce8997cd19695b2,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003989,V2_ORIGINAL_SYNTHETIC_500,08_p01-supine-on-floor-08,IMG_003989,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/08_p01-supine-on-floor-08.txt,63696c83c3da0ca5e18fd147b8e81a0495ad147a4fdc251d7ec2a8a7bf700679,63696c83c3da0ca5e18fd147b8e81a0495ad147a4fdc251d7ec2a8a7bf700679,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/08_p01-supine-on-floor-08.png,abc8eeef34ef97fc9ac4511ae695e911ec950c384ff3a959cf1a05e24955588e,abc8eeef34ef97fc9ac4511ae695e911ec950c384ff3a959cf1a05e24955588e,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_003990,V2_ORIGINAL_SYNTHETIC_500,09_p01-supine-on-floor-09,IMG_003990,pf_v2_aigc_p01-supine-on-floor,DEV,V3_DEV,positive,1,supine_ground_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/09_p01-supine-on-floor-09.txt,3b1503fb57ea0743aa0e2a5e774fb973dea3bc063760b015fccda254ea7636b4,3b1503fb57ea0743aa0e2a5e774fb973dea3bc063760b015fccda254ea7636b4,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/09_p01-supine-on-floor-09.png,4791a565447bec69f60b175570fb4bdb5efc1dde5d2474f50073b03398cd012e,4791a565447bec69f60b175570fb4bdb5efc1dde5d2474f50073b03398cd012e,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_SUPINE_GROUND_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
V2_ORIGINAL::IMG_004072,V2_ORIGINAL_SYNTHETIC_500,100_p10-partially-occluded-fallen-person-10,IMG_004072,pf_v2_aigc_p10-partially-occluded-fallen-person,DEV,V3_DEV,positive,1,partially_occluded_lying,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/100_p10-partially-occluded-fallen-person-10.txt,0ccf8434581a3fb0d755e8f8b49eebfac38174b248d860eba30373c1d9345b8a,0ccf8434581a3fb0d755e8f8b49eebfac38174b248d860eba30373c1d9345b8a,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/100_p10-partially-occluded-fallen-person-10.png,663731c7d5fa6323b5b1a136d1cef8a31364fd4e96752a4af1949592156d9a4a,663731c7d5fa6323b5b1a136d1cef8a31364fd4e96752a4af1949592156d9a4a,FROZEN_V2_MANIFEST_EXPECTED_AND_ACTUAL,REUSABLE_V2_NON_HOLDOUT,FROZEN_V2_PROMPT_IMAGE_MAPPING_PASS,V3_PARTIALLY_OCCLUDED_LYING_POSITIVE,PASS_EXPLICIT_POSTURE_CUE,positive,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,positive,true,
