media_id,image_path,image_sha256,event_label,sample_role,scenario_id,group_id,original_split,p2_internal_role,source_type,taxonomy,baseline_predicted_status,baseline_evidence,baseline_is_fp,prompt_path,possible_GT_boundary_review_needed
IMG_003712,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/311_h02-sitting-on-floor-01.png,a08dc0677c5f0c67aecd4897fe8c39f6112c2732b2182b3d889b03b5a98b617d,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"The person is sitting on the floor with legs extended, maintaining a seated posture, not lying or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/311_h02-sitting-on-floor-01.txt,false
IMG_003713,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/312_h02-sitting-on-floor-02.png,74c096570ad1109e55ec956d25c76b0c3fe1a9dc51eef03da1642c07d7a765b9,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"person is sitting on the floor in a cross-legged posture, not lying or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/312_h02-sitting-on-floor-02.txt,false
IMG_003714,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/313_h02-sitting-on-floor-03.png,26e8e9b1f421aeada92548231e0b832e6d0554ffe2dab403516c7c7a2df75a5c,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"person is sitting upright on the floor with legs extended, maintaining a seated posture, not lying or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/313_h02-sitting-on-floor-03.txt,false
IMG_003715,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/314_h02-sitting-on-floor-04.png,da3050615af0f957ee851f59d0ba1728110d72e2ce5799555015baa71545303d,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"The person is sitting on the floor in a seated posture, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/314_h02-sitting-on-floor-04.txt,false
IMG_003716,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/315_h02-sitting-on-floor-05.png,de763ff98de5ee15d2e08431d68de418de7ea91184c26b17329924d58a43cfea,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"person is sitting on the floor in a seated posture, not lying or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/315_h02-sitting-on-floor-05.txt,false
IMG_003717,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/316_h02-sitting-on-floor-06.png,51defa65e8ab2e4ac0e0b5d0903a50bd79b93ab562f59ceac93d10e35c3d7026,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"The person is sitting on the floor in a seated posture, not lying, prone, or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/316_h02-sitting-on-floor-06.txt,false
IMG_003718,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/317_h02-sitting-on-floor-07.png,a492fa3a45b44a5055130be2502affe0940bb028630d22086170baa7a9120e9c,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"The person is sitting on the floor in a seated posture, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/317_h02-sitting-on-floor-07.txt,false
IMG_003719,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/318_h02-sitting-on-floor-08.png,47c966c7e3000e227ea832590ab7f537270c4f411e1e5f9090b91012315ee2f3,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,positive,"A person is clearly lying on their back on the floor in a collapsed/lying state, supported by the ground surface.",true,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/318_h02-sitting-on-floor-08.txt,false
IMG_003720,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/319_h02-sitting-on-floor-09.png,535a93d41730af7911e98c7078fc4d470a277fdd4048c6e80cb57ed8e7db3439,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,negative,"person is sitting upright on the floor, not lying or collapsed",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/319_h02-sitting-on-floor-09.txt,false
IMG_003721,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/320_h02-sitting-on-floor-10.png,87f2d821c7096f9fb25574f6272bb3ccd52ae160cf83b591930e5b2ea4bc6b99,0,hard_negative,pf_v2_aigc_h02-sitting-on-floor,pf_v2_aigc_h02-sitting-on-floor,DEV,P2_DESIGN,ai_generated,sitting_on_floor,positive,person is lying on the floor in a side-lying/collapsed posture with substantial body weight supported by the ground.,true,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/320_h02-sitting-on-floor-10.txt,false
IMG_003722,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/321_h03-kneeling-01.png,8abaec058bf120acbbc5434c306d186beb4b4ab37623f024a025f10b349d0950,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on one knee while working on machinery, not lying or collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/321_h03-kneeling-01.txt,false
IMG_003723,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/322_h03-kneeling-02.png,bbf2f9c60794f8bc935d2c5b0b8b4f103c4e98e20d82758d877739c54216a75c,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on one knee, not lying or collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/322_h03-kneeling-02.txt,false
IMG_003724,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/323_h03-kneeling-03.png,571f202fd7c667dc9f715fafd3e988e9d01f736b0771132dffa4771b057e7be2,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"person is kneeling on the floor, not lying or collapsed",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/323_h03-kneeling-03.txt,false
IMG_003725,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/324_h03-kneeling-04.png,16392ce139623dcead3dc9e6c9c492a2b1dc95c6b12bbdf467e79045a5b6473b,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/324_h03-kneeling-04.txt,false
IMG_003726,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/325_h03-kneeling-05.png,0c2c8ab08df945d01ae69aea7d9c57f73a9db4e3c88a362ea2e0216b2a433e06,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying, prone, supine, side-lying, horizontally collapsed, or curled in a lying state.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/325_h03-kneeling-05.txt,false
IMG_003727,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/326_h03-kneeling-06.png,32aebc215aa35c65df2b994cf493dc70b1234b21fcf72caa58f454761fd3d3d8,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/326_h03-kneeling-06.txt,false
IMG_003728,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/327_h03-kneeling-07.png,59c6841fe35ddf9c5c53fa57c3908516e081068c1c9272b3beadbc2375a14b42,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/327_h03-kneeling-07.txt,false
IMG_003729,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/328_h03-kneeling-08.png,5ffddfb69084de8140cc48c025565813a115bdcb4ab7f3795a3edef67341cb2e,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,positive,person is lying face-down on the floor with a substantial part of the body supported by the ground surface.,true,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/328_h03-kneeling-08.txt,false
IMG_003730,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/329_h03-kneeling-09.png,5edf07d26c5eb6d7cae80f2a262e808ea87dbfb5f683430326b265e8a2028eb6,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the ground, not lying, prone, or horizontally collapsed. This posture does not satisfy the positive definition for 'person_fallen'.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/329_h03-kneeling-09.txt,false
IMG_003731,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/330_h03-kneeling-10.png,2945077368eabff86b0a88694c309b66a40b7b4224c9ade8d5cf2056b3e0fd12,0,hard_negative,pf_v2_aigc_h03-kneeling,pf_v2_aigc_h03-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on one knee, not lying or collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/330_h03-kneeling-10.txt,false
