prompt_id,group_id,variant_id,role,taxonomy,planned_split,prompt_path,prompt_sha256_expected,prompt_sha256_actual,current_partition_source,current_partition_adapter_version,historical_stage,historical_adapter_version,provider,provenance_evidence,provenance_status,sha_evidence,raw_path,raw_sha256_expected,raw_sha256_actual,raw_width,raw_height,raw_format,raw_pillow_verify,raw_pillow_load,final_path,final_sha256_expected,final_sha256_actual,final_width,final_height,final_format,final_pillow_verify,final_pillow_load,prompt_lineage_status,sha_integrity_status,mechanical_status,known_historical_final_exact_collision_count,near_duplicate_candidate_count
PF_P4D_HN_SIT_G001_V01,PF_P4D_HN_SIT_G001,V01,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V01.txt,8457b5040240fdd57d98ae5bb02251b9dfb94502bf650ebec2ab57018186ef5a,8457b5040240fdd57d98ae5bb02251b9dfb94502bf650ebec2ab57018186ef5a,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V01.png,8bbeb68b0d4c93d0fd6dc0bc6760010b6710d39370fad4ec6b1c79362d92cba7,8bbeb68b0d4c93d0fd6dc0bc6760010b6710d39370fad4ec6b1c79362d92cba7,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V01.png,e2a581d85bad33fe876ee72c81c6ed053fc8ab9c62975f9daa63beb4393052fa,e2a581d85bad33fe876ee72c81c6ed053fc8ab9c62975f9daa63beb4393052fa,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G001_V02,PF_P4D_HN_SIT_G001,V02,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V02.txt,50a601f6f68a7a5b163ed7b7912cb046500a0629ebf1fa884e7e05490af4c4e9,50a601f6f68a7a5b163ed7b7912cb046500a0629ebf1fa884e7e05490af4c4e9,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V02.png,b4d1743a91c2cef3d51c8b2a402763ccbc093eef5571c022208b6f0dbb1d3cbb,b4d1743a91c2cef3d51c8b2a402763ccbc093eef5571c022208b6f0dbb1d3cbb,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V02.png,d21e3b0133297066faa98825f1b244b103aa41b025a604ab263570ced2abc6ae,d21e3b0133297066faa98825f1b244b103aa41b025a604ab263570ced2abc6ae,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G001_V03,PF_P4D_HN_SIT_G001,V03,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V03.txt,037ce19367f033d97dca0bbc8e7757b3e6dda321dcf44478aaa55198e1a32044,037ce19367f033d97dca0bbc8e7757b3e6dda321dcf44478aaa55198e1a32044,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V03.png,891f51303836f12ab4781f29b3e90b055f311ac8f8e34a2085da099bbead2476,891f51303836f12ab4781f29b3e90b055f311ac8f8e34a2085da099bbead2476,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V03.png,674601dc13de3a69747b95d3c61fcef59f1fbf0e4aff3cb3ab4b27dcbfd899d7,674601dc13de3a69747b95d3c61fcef59f1fbf0e4aff3cb3ab4b27dcbfd899d7,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G001_V04,PF_P4D_HN_SIT_G001,V04,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V04.txt,fe4762f481c9de4f3c83d4bdbb52f90df85ec53d6868333bdf98aeba7b5d25b9,fe4762f481c9de4f3c83d4bdbb52f90df85ec53d6868333bdf98aeba7b5d25b9,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V04.png,3a4b23cc3563fcf94ef444561dba8e8f72f96fcc8f901e5acf4c17f704910b2a,3a4b23cc3563fcf94ef444561dba8e8f72f96fcc8f901e5acf4c17f704910b2a,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V04.png,6c15404fd1f16c2c4e478e153bd3d7cc723e4e279c80ea6e91832cc998c0aa89,6c15404fd1f16c2c4e478e153bd3d7cc723e4e279c80ea6e91832cc998c0aa89,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G001_V05,PF_P4D_HN_SIT_G001,V05,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G001_V05.txt,8903c290d95542423a083d187a94814a17c5f374775fd69ddccfb8aa64b99804,8903c290d95542423a083d187a94814a17c5f374775fd69ddccfb8aa64b99804,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G001_V05.png,6ff395f7b578f9bd42b07fd11a829b77d1cd376337bf8ebf4ae592aa4c109050,6ff395f7b578f9bd42b07fd11a829b77d1cd376337bf8ebf4ae592aa4c109050,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G001_V05.png,8a601a296c493209ea6d0e4d3c42904a94ece62d0d799b801df68eeb49a3ec96,8a601a296c493209ea6d0e4d3c42904a94ece62d0d799b801df68eeb49a3ec96,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G002_V01,PF_P4D_HN_SIT_G002,V01,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V01.txt,47697e2923fb9b4c34e16b6bd0eccfb2bd7735f9ed9c2a4dfbaa2fb44e21ca74,47697e2923fb9b4c34e16b6bd0eccfb2bd7735f9ed9c2a4dfbaa2fb44e21ca74,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V01.png,9dea4365f876bb09b24c0b2d48ef38c3600145a06e6d4173b94fe810ea8b2d00,9dea4365f876bb09b24c0b2d48ef38c3600145a06e6d4173b94fe810ea8b2d00,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V01.png,5d5f299d58ecc1b07020fa3b42f858d18ebaef9a26d8c2764f942d098bfbb183,5d5f299d58ecc1b07020fa3b42f858d18ebaef9a26d8c2764f942d098bfbb183,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G002_V02,PF_P4D_HN_SIT_G002,V02,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V02.txt,5fea79c209c78eb411266cb3f668d803833209d456edbb8541a2c22eaea3a049,5fea79c209c78eb411266cb3f668d803833209d456edbb8541a2c22eaea3a049,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V02.png,5b8dfafcf7caaa99c552406659d7a0607074af13d8a4e108693e89de49efcea1,5b8dfafcf7caaa99c552406659d7a0607074af13d8a4e108693e89de49efcea1,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V02.png,2acb0923c09fb9a05e838a3f6a0c204ff7e591bd59e6eefe91bc5f861ebca5a0,2acb0923c09fb9a05e838a3f6a0c204ff7e591bd59e6eefe91bc5f861ebca5a0,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G002_V03,PF_P4D_HN_SIT_G002,V03,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V03.txt,38481f5dd1bd755cbe76dcc73a2a338d336e94504d599c3fe1b189cb62e5f7fc,38481f5dd1bd755cbe76dcc73a2a338d336e94504d599c3fe1b189cb62e5f7fc,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V03.png,63c89509d0257ebb3982049ac51e5766710096e017e771d957cb5e151ffe2639,63c89509d0257ebb3982049ac51e5766710096e017e771d957cb5e151ffe2639,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V03.png,a458075e4d53995d5a06b79b7845b3762afb2f5df3a1b4f9f88d8306f605e349,a458075e4d53995d5a06b79b7845b3762afb2f5df3a1b4f9f88d8306f605e349,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G002_V04,PF_P4D_HN_SIT_G002,V04,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V04.txt,7dc530bcd9852562431e2383eb32722bfa8d66315c16aa59d3e24f750203a686,7dc530bcd9852562431e2383eb32722bfa8d66315c16aa59d3e24f750203a686,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V04.png,1f8807258687ce01068ba241dfe13663e6da18fe84a9db2174f3e1e4a314491c,1f8807258687ce01068ba241dfe13663e6da18fe84a9db2174f3e1e4a314491c,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V04.png,0983512e462a6aceae3035e2f75ce3acbb144d94e6ab657a60bd91117a1f2ff2,0983512e462a6aceae3035e2f75ce3acbb144d94e6ab657a60bd91117a1f2ff2,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
PF_P4D_HN_SIT_G002_V05,PF_P4D_HN_SIT_G002,V05,hard_negative,floor_sitting,NEW_DESIGN,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G002_V05.txt,6a6ea6c25eda8bccfb9e2052278695a5b7749a9fffc1b18b850c85c0058b158e,6a6ea6c25eda8bccfb9e2052278695a5b7749a9fffc1b18b850c85c0058b158e,PRE_Q7_VERIFIED,CODEX_SAFE_STAGED_CV_V1,Q2_PRE_Q6_LEGACY_INVENTORY,LEGACY_NO_ADAPTER,codex,/home/yanbo/net_vlm_person_fallen_v2_optimization/08_p4d_new_hard_negative_dev_revision/02_generation/gr3_fullregen/06_execution/quota_campaign_window_02_policy_adapter_20260830_01/00_preflight/current_verified_success_132.csv,PASS,preexisting_inventory_sha256,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/generated_raw/PF_P4D_HN_SIT_G002_V05.png,61194b79f0b44abd25ec6b9b742292a1d3389d16e5c8df6176fa7f766fce75d7,61194b79f0b44abd25ec6b9b742292a1d3389d16e5c8df6176fa7f766fce75d7,1672,941,PNG,True,True,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G002_V05.png,18ee5f3c112248004e858561f6aa0273a1359b5840fc325cefe6aa803b857b37,18ee5f3c112248004e858561f6aa0273a1359b5840fc325cefe6aa803b857b37,1920,1080,PNG,True,True,PASS,PASS,PASS,0,0
