operational_id,operational_class,expected_high_priority,selection_basis,item_id,source_family,prompt_id,media_id,group_id,source_split,v3_split,image_path,image_sha256,image_sha_basis,prompt_path,prompt_sha256,taxonomy,old_role,old_label,ground_truth,metric_stratum,source_provenance_status,gt_type,gt_source,human_semantic_review_required,formal_v3_evaluation
PFV4_SCREEN_0001,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G008_V01,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G008_V01,,PF_P4D_HN_SIT_G008,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G008_V01.png,00ccbaf63bc11ef1dce71704acd3c0ead60aea57bcfde66b175e78ca1653ae9e,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G008_V01.txt,ebf4d31edd19f8ba167796bd2aa6d318faf1cafcdb6f0c3c2700e35352cf4587,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0002,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G008_V02,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G008_V02,,PF_P4D_HN_SIT_G008,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G008_V02.png,6c2628352e038020c20eab2f9b480da1f86ec7bfb32a585335014ee32e067ede,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G008_V02.txt,2d29675cb0d74ef093aa65bbc0c037c1b17bfc3101f19dd1f4cb621a7106dcd3,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0003,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G008_V03,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G008_V03,,PF_P4D_HN_SIT_G008,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G008_V03.png,55ad6dceb0bf5f01a909440ff25d9736e2b540e4ba9ca886434a288f6c6fab0f,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G008_V03.txt,6a8b51ab9f3993b8b29bc4f343b6c17745daf5bd33630a1e6b0a40431936b13b,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0004,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G008_V04,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G008_V04,,PF_P4D_HN_SIT_G008,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G008_V04.png,bed1a30ed8c85727d47887a170e2a88a2e0d1023e5d1ea0f9b72a25189d27223,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G008_V04.txt,bc604a5f51b5d9baaf8b14a7b36bf8eb4ca2c5fb4b9a0a4be7ef4829bb634531,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0005,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G008_V05,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G008_V05,,PF_P4D_HN_SIT_G008,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G008_V05.png,56b3a88ca2bb8aa39dd70d6218aa92c2329c6fbaecd17a77a8ce62fbeafb7d1f,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G008_V05.txt,853797c9b5bfd3de665eedc38f78bd751b68fc044eeb80e2faf53a451b5817f9,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0006,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G009_V01,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G009_V01,,PF_P4D_HN_SIT_G009,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G009_V01.png,715af5e531aa1dd146f098ddc0fdd24feff64c77f55b7f0e50e78c7d5237b89d,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G009_V01.txt,82d7d1624b7718202602df65efe44f5f18ba3727bb81c906aebab04ed4ee3430,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0007,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G009_V02,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G009_V02,,PF_P4D_HN_SIT_G009,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G009_V02.png,53f9023ae21e25faff36fc54b4ab09f829ab493a765d518b3ec1fd5cc151a540,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G009_V02.txt,071d8e2dc6a114e49f26f0a05887817ce2128f1e8723cbd5496b410a5c85865b,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0008,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G009_V03,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G009_V03,,PF_P4D_HN_SIT_G009,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G009_V03.png,f50436177341fd817779c450e1ae445e1e72e2e29a0303da7fc2f5e732bbb9f4,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G009_V03.txt,40bcc44fa6c7f87fea225710ea1ee9a2ec8eac38b1db7da735a50ad0800627b6,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0009,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G009_V04,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G009_V04,,PF_P4D_HN_SIT_G009,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G009_V04.png,884b8fa42c94632028f16bae90dfed7082d1c30dcdc0963962b73594f20cab80,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G009_V04.txt,9e607f0b6211303bf2c18cd8044a7944c5c48749ce5510adbacaf611869f4a8b,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
PFV4_SCREEN_0010,normal_negative,NO_ALERT_NORMAL_POSE,FROZEN_LEGAL_V3_SPLIT_PRESERVED_WITHOUT_GT_REWRITE,P4D_PLAN::PF_P4D_HN_SIT_G009_V05,P4D_FROZEN_PLAN_440,PF_P4D_HN_SIT_G009_V05,,PF_P4D_HN_SIT_G009,NEW_SCREEN,V3_SCREEN,/home/yanbo/下载/batches/batch-person-fallen-v2-p4d-hardneg-fullregen-r2-camera1p5m/final/PF_P4D_HN_SIT_G009_V05.png,8c542f3379ecb4fda08f24d55b3d425b4183c1a4836b3db0a37207738f4369f5,FAST_CLOSE_EXPECTED_AND_ACTUAL,/home/yanbo/下载/batches/batch_person-fallen-v2-p4d-hardneg-rev1-camera1p5m/prompts/PF_P4D_HN_SIT_G009_V05.txt,e785acf3819e5ce4db138c467f7e9a6c5ff261e83fd61478b1101111864d9c57,floor_sitting,hard_negative,negative,negative,hard_negative,P4D_FAST_CLOSE_PROVENANCE_MECHANICAL_LINEAGE_PASS,PROMPT_DERIVED_SYNTHETIC_GT,FROZEN_GENERATION_PROMPT_AND_PLANNED_ROLE,false,true
